"Plot","Block","Side","Crop","Crop_ID","Corn_weed_management","AMATA_gram","AMATA_number","sample_area_m_sq","g_m_sq","plant_m_sq","Year","Female","Male","Total","Rotation"
"33","3","W","corn","C3","low",0.41,10,2.24,0.183035714,4.464285714,"2019",5,9,28,"3-year"
"33","3","E","corn","C3","conv",0.08,3,2.24,0.035714286,1.339285714,"2019",2,22,90,"3-year"
"34","3","W","soybean","S2","low",0,0,18.532,0,0,"2019",0,0,0,"2-year"
"34","3","E","soybean","S2","conv",0,0,18.532,0,0,"2019",0,0,0,"2-year"
"35","3","W","corn","C2","low",0.39,11,2.24,0.174107143,4.910714286,"2019",6,7,33,"2-year"
"35","3","E","corn","C2","conv",0.62,5,2.24,0.276785714,2.232142857,"2019",6,6,65,"2-year"
"36","3","W","soybean","S3","conv",0,0,18.532,0,0,"2019",0,0,0,"3-year"
"36","3","E","soybean","S3","low",0,0,18.532,0,0,"2019",0,0,0,"3-year"
"37","3","W","soybean","S4","low",0,0,18.532,0,0,"2019",0,0,0,"4-year"
"37","3","E","soybean","S4","conv",0,0,18.532,0,0,"2019",0,0,0,"4-year"
"38","3","W","oat","O3","low",22.45,59,2.24,10.02232143,26.33928571,"2019",0,0,0,"3-year"
"38","3","E","oat","O3","conv",12.8,46,2.24,5.714285714,20.53571429,"2019",0,0,0,"3-year"
"39","3","W","alfalfa","A4","conv",13.99,99,2.24,6.245535714,44.19642857,"2019",0,0,0,"4-year"
"39","3","E","alfalfa","A4","low",7.79,41,2.24,3.477678571,18.30357143,"2019",0,0,0,"4-year"
"41","4","W","alfalfa","A4","conv",0.56,18,2.24,0.25,8.035714286,"2019",0,0,0,"4-year"
"41","4","E","alfalfa","A4","low",2.4,25,2.24,1.071428571,11.16071429,"2019",0,0,0,"4-year"
"42","4","W","corn","C3","conv",3.75,12,2.24,1.674107143,5.357142857,"2019",12,14,67,"3-year"
"42","4","E","corn","C3","low",0.08,4,2.24,0.035714286,1.785714286,"2019",0,4,32,"3-year"
"43","4","W","corn","C4","low",1.48,2,2.24,0.660714286,0.892857143,"2019",0,0,0,"4-year"
"43","4","E","corn","C4","conv",0.01,1,2.24,0.004464286,0.446428571,"2019",0,0,0,"4-year"
"44","4","W","soybean","S2","low",1.02,5,18.532,0.055039931,0.269803583,"2019",0,0,0,"2-year"
"44","4","E","soybean","S2","conv",0,0,18.532,0,0,"2019",0,0,0,"2-year"
"45","4","W","corn","C2","conv",0.22,29,2.24,0.098214286,12.94642857,"2019",0,0,0,"2-year"
"45","4","E","corn","C2","low",0.24,22,2.24,0.107142857,9.821428571,"2019",0,0,0,"2-year"
"46","4","W","soybean","S4","low",0,0,18.532,0,0,"2019",0,0,0,"4-year"
"46","4","E","soybean","S4","conv",0,0,18.532,0,0,"2019",0,0,0,"4-year"
"47","4","W","soybean","S3","low",0,0,18.532,0,0,"2019",0,0,0,"3-year"
"47","4","E","soybean","S3","conv",0,0,18.532,0,0,"2019",0,0,0,"3-year"
"48","4","W","oat","O3","conv",4.79,45,2.24,2.138392857,20.08928571,"2019",0,0,0,"3-year"
"48","4","E","oat","O3","low",3.79,39,2.24,1.691964286,17.41071429,"2019",0,0,0,"3-year"
"49","4","W","oat","O4","low",51.12,121,2.24,22.82142857,54.01785714,"2019",36,17,53,"4-year"
"49","4","E","oat","O4","conv",42.15,91,2.24,18.81696429,40.625,"2019",63,37,101,"4-year"
