Plot,Side,Quadrat,Cohort,Rotation,Block,Herbicide,Corn_weed_management,Crop,Crop_ID,Total,Female,Male,Unknown,ID,Year,Number_begin,Total_sexed
11,E,3,3,3-year,1,low,low,oat,O3,1,0,1,0,11_E_3_3,2019,32,1
11,E,4,1,3-year,1,low,low,oat,O3,10,6,4,0,11_E_4_1,2019,32,10
11,E,4,3,3-year,1,low,low,oat,O3,1,1,0,0,11_E_4_3,2019,2,1
11,E,4,5,3-year,1,low,low,oat,O3,3,0,3,0,11_E_4_5,2019,4,3
11,E,5,4,3-year,1,low,low,oat,O3,1,1,0,0,11_E_5_4,2019,3,1
11,E,5,1,3-year,1,low,low,oat,O3,1,1,0,0,11_E_5_1,2019,46,1
11,E,8,1,3-year,1,low,low,oat,O3,2,2,0,0,11_E_8_1,2019,34,2
11,W,1,1,3-year,1,conv,conv,oat,O3,9,4,5,0,11_W_1_1,2019,63,9
11,W,2,1,3-year,1,conv,conv,oat,O3,3,0,3,0,11_W_2_1,2019,85,3
11,W,4,1,3-year,1,conv,conv,oat,O3,2,2,0,0,11_W_4_1,2019,63,2
11,W,5,4,3-year,1,conv,conv,oat,O3,1,0,1,0,11_W_5_4,2019,1,1
11,W,5,1,3-year,1,conv,conv,oat,O3,17,10,7,0,11_W_5_1,2019,97,17
11,W,5,2,3-year,1,conv,conv,oat,O3,2,2,0,0,11_W_5_2,2019,15,2
11,W,8,1,3-year,1,conv,conv,oat,O3,1,0,1,0,11_W_8_1,2019,112,1
11,W,8,2,3-year,1,conv,conv,oat,O3,1,1,0,0,11_W_8_2,2019,14,1
12,E,1,1,4-year,1,low,low,corn,C4,1,0,1,0,12_E_1_1,2019,1,1
12,E,3,3,4-year,1,low,low,corn,C4,1,0,1,0,12_E_3_3,2019,1,1
12,E,4,2,4-year,1,low,low,corn,C4,1,0,1,0,12_E_4_2,2019,2,1
12,E,5,3,4-year,1,low,low,corn,C4,1,1,0,0,12_E_5_3,2019,2,1
12,E,8,2,4-year,1,low,low,corn,C4,2,0,0,2,12_E_8_2,2019,3,0
12,E,8,1,4-year,1,low,low,corn,C4,2,1,0,1,12_E_8_1,2019,6,1
12,W,2,2,4-year,1,conv,conv,corn,C4,1,0,0,1,12_W_2_2,2019,1,0
14,E,1,3,4-year,1,conv,conv,oat,O4,4,2,2,0,14_E_1_3,2019,18,4
14,E,1,2,4-year,1,conv,conv,oat,O4,12,8,0,4,14_E_1_2,2019,126,8
14,E,1,1,4-year,1,conv,conv,oat,O4,19,11,8,0,14_E_1_1,2019,97,19
14,E,1,5,4-year,1,conv,conv,oat,O4,2,2,0,0,14_E_1_5,2019,2,2
14,E,2,2,4-year,1,conv,conv,oat,O4,16,7,9,0,14_E_2_2,2019,114,16
14,E,2,5,4-year,1,conv,conv,oat,O4,1,1,0,0,14_E_2_5,2019,1,1
14,E,2,3,4-year,1,conv,conv,oat,O4,10,10,0,0,14_E_2_3,2019,14,10
14,E,3,6,4-year,1,conv,conv,oat,O4,2,0,0,2,14_E_3_6,2019,2,0
14,E,3,1,4-year,1,conv,conv,oat,O4,23,22,0,1,14_E_3_1,2019,39,22
14,E,3,2,4-year,1,conv,conv,oat,O4,25,7,18,0,14_E_3_2,2019,46,25
14,E,4,1,4-year,1,conv,conv,oat,O4,9,4,5,0,14_E_4_1,2019,24,9
14,E,4,3,4-year,1,conv,conv,oat,O4,5,4,1,0,14_E_4_3,2019,11,5
14,E,5,1,4-year,1,conv,conv,oat,O4,1,1,0,0,14_E_5_1,2019,43,1
14,E,5,2,4-year,1,conv,conv,oat,O4,1,1,0,0,14_E_5_2,2019,11,1
14,E,6,1,4-year,1,conv,conv,oat,O4,7,3,0,4,14_E_6_1,2019,48,3
14,E,6,3,4-year,1,conv,conv,oat,O4,1,0,0,1,14_E_6_3,2019,5,0
14,E,7,1,4-year,1,conv,conv,oat,O4,3,0,3,0,14_E_7_1,2019,22,3
14,E,7,3,4-year,1,conv,conv,oat,O4,1,0,1,0,14_E_7_3,2019,4,1
14,E,7,4,4-year,1,conv,conv,oat,O4,3,3,0,0,14_E_7_4,2019,5,3
14,E,8,3,4-year,1,conv,conv,oat,O4,8,3,5,0,14_E_8_3,2019,16,8
14,E,8,2,4-year,1,conv,conv,oat,O4,25,9,16,0,14_E_8_2,2019,60,25
14,W,1,4,4-year,1,low,low,oat,O4,11,11,0,0,14_W_1_4,2019,21,11
14,W,1,1,4-year,1,low,low,oat,O4,2,2,0,0,14_W_1_1,2019,99,2
14,W,2,2,4-year,1,low,low,oat,O4,3,3,0,0,14_W_2_2,2019,46,3
14,W,2,5,4-year,1,low,low,oat,O4,3,2,0,1,14_W_2_5,2019,3,2
14,W,3,3,4-year,1,low,low,oat,O4,2,1,1,0,14_W_3_3,2019,7,2
14,W,3,2,4-year,1,low,low,oat,O4,20,17,3,0,14_W_3_2,2019,93,20
14,W,3,4,4-year,1,low,low,oat,O4,2,0,0,2,14_W_3_4,2019,6,0
14,W,3,1,4-year,1,low,low,oat,O4,24,14,10,0,14_W_3_1,2019,161,24
14,W,4,2,4-year,1,low,low,oat,O4,2,2,0,0,14_W_4_2,2019,29,2
14,W,4,5,4-year,1,low,low,oat,O4,1,0,0,1,14_W_4_5,2019,1,0
14,W,4,1,4-year,1,low,low,oat,O4,12,7,5,0,14_W_4_1,2019,57,12
14,W,5,4,4-year,1,low,low,oat,O4,1,0,1,0,14_W_5_4,2019,2,1
14,W,5,1,4-year,1,low,low,oat,O4,2,2,0,0,14_W_5_1,2019,24,2
14,W,6,1,4-year,1,low,low,oat,O4,7,5,2,0,14_W_6_1,2019,34,7
14,W,7,1,4-year,1,low,low,oat,O4,5,2,3,0,14_W_7_1,2019,18,5
16,E,1,2,3-year,1,low,low,corn,C3,2,0,1,1,16_E_1_2,2019,24,1
16,E,1,1,3-year,1,low,low,corn,C3,1,1,0,0,16_E_1_1,2019,13,1
16,E,2,3,3-year,1,low,low,corn,C3,1,0,0,1,16_E_2_3,2019,3,0
16,E,2,2,3-year,1,low,low,corn,C3,2,0,0,2,16_E_2_2,2019,24,0
16,E,2,1,3-year,1,low,low,corn,C3,1,0,0,1,16_E_2_1,2019,63,0
16,E,3,1,3-year,1,low,low,corn,C3,1,0,1,0,16_E_3_1,2019,91,1
16,E,4,3,3-year,1,low,low,corn,C3,1,0,0,1,16_E_4_3,2019,3,0
16,E,4,2,3-year,1,low,low,corn,C3,6,0,2,4,16_E_4_2,2019,31,2
16,E,4,1,3-year,1,low,low,corn,C3,4,3,0,1,16_E_4_1,2019,130,3
16,E,5,3,3-year,1,low,low,corn,C3,1,0,0,1,16_E_5_3,2019,1,0
16,E,5,2,3-year,1,low,low,corn,C3,3,0,0,3,16_E_5_2,2019,3,0
16,E,6,3,3-year,1,low,low,corn,C3,2,0,0,2,16_E_6_3,2019,3,0
16,E,6,2,3-year,1,low,low,corn,C3,1,0,0,1,16_E_6_2,2019,2,0
16,E,6,1,3-year,1,low,low,corn,C3,1,0,0,1,16_E_6_1,2019,24,0
16,W,1,2,3-year,1,conv,conv,corn,C3,1,0,0,1,16_W_1_2,2019,3,0
16,W,1,1,3-year,1,conv,conv,corn,C3,1,0,1,0,16_W_1_1,2019,4,1
16,W,2,2,3-year,1,conv,conv,corn,C3,1,0,0,1,16_W_2_2,2019,1,0
16,W,2,1,3-year,1,conv,conv,corn,C3,3,2,1,0,16_W_2_1,2019,14,3
16,W,3,2,3-year,1,conv,conv,corn,C3,1,0,0,1,16_W_3_2,2019,3,0
16,W,3,1,3-year,1,conv,conv,corn,C3,2,0,0,2,16_W_3_1,2019,16,0
16,W,4,2,3-year,1,conv,conv,corn,C3,2,0,0,2,16_W_4_2,2019,2,0
16,W,5,2,3-year,1,conv,conv,corn,C3,4,0,0,4,16_W_5_2,2019,4,0
16,W,7,1,3-year,1,conv,conv,corn,C3,5,2,3,0,16_W_7_1,2019,10,5
16,W,8,1,3-year,1,conv,conv,corn,C3,1,0,1,0,16_W_8_1,2019,3,1
17,E,1,3,4-year,1,conv,conv,alfalfa,A4,2,1,1,0,17_E_1_3,2019,2,2
17,E,1,2,4-year,1,conv,conv,alfalfa,A4,2,2,0,0,17_E_1_2,2019,5,2
17,E,3,3,4-year,1,conv,conv,alfalfa,A4,4,0,4,0,17_E_3_3,2019,4,4
17,E,3,2,4-year,1,conv,conv,alfalfa,A4,14,7,7,0,17_E_3_2,2019,140,14
17,E,4,3,4-year,1,conv,conv,alfalfa,A4,20,10,10,0,17_E_4_3,2019,33,20
17,E,4,2,4-year,1,conv,conv,alfalfa,A4,24,16,8,0,17_E_4_2,2019,26,24
17,E,4,5,4-year,1,conv,conv,alfalfa,A4,1,0,1,0,17_E_4_5,2019,10,1
17,E,4,1,4-year,1,conv,conv,alfalfa,A4,1,0,1,0,17_E_4_1,2019,7,1
17,E,5,2,4-year,1,conv,conv,alfalfa,A4,1,1,0,0,17_E_5_2,2019,165,1
17,E,8,2,4-year,1,conv,conv,alfalfa,A4,3,2,1,0,17_E_8_2,2019,195,3
17,W,2,3,4-year,1,low,low,alfalfa,A4,3,2,1,0,17_W_2_3,2019,4,3
17,W,2,4,4-year,1,low,low,alfalfa,A4,11,6,5,0,17_W_2_4,2019,13,11
17,W,2,1,4-year,1,low,low,alfalfa,A4,1,1,0,0,17_W_2_1,2019,1,1
17,W,2,5,4-year,1,low,low,alfalfa,A4,1,1,0,0,17_W_2_5,2019,1,1
17,W,3,3,4-year,1,low,low,alfalfa,A4,5,3,2,0,17_W_3_3,2019,21,5
17,W,3,2,4-year,1,low,low,alfalfa,A4,13,10,3,0,17_W_3_2,2019,33,13
17,W,4,1,4-year,1,low,low,alfalfa,A4,4,3,1,0,17_W_4_1,2019,50,4
17,W,4,2,4-year,1,low,low,alfalfa,A4,9,7,2,0,17_W_4_2,2019,152,9
17,W,5,3,4-year,1,low,low,alfalfa,A4,4,3,1,0,17_W_5_3,2019,14,4
17,W,5,4,4-year,1,low,low,alfalfa,A4,1,0,1,0,17_W_5_4,2019,8,1
17,W,5,1,4-year,1,low,low,alfalfa,A4,4,4,0,0,17_W_5_1,2019,16,4
17,W,6,3,4-year,1,low,low,alfalfa,A4,5,3,2,0,17_W_6_3,2019,41,5
17,W,6,1,4-year,1,low,low,alfalfa,A4,5,5,0,0,17_W_6_1,2019,38,5
17,W,6,2,4-year,1,low,low,alfalfa,A4,1,0,1,0,17_W_6_2,2019,2,1
17,W,6,5,4-year,1,low,low,alfalfa,A4,1,0,1,0,17_W_6_5,2019,4,1
17,W,7,3,4-year,1,low,low,alfalfa,A4,1,0,1,0,17_W_7_3,2019,32,1
17,W,7,2,4-year,1,low,low,alfalfa,A4,6,3,3,0,17_W_7_2,2019,91,6
17,W,7,1,4-year,1,low,low,alfalfa,A4,6,3,3,0,17_W_7_1,2019,6,6
19,E,1,2,2-year,1,conv,conv,corn,C2,1,0,1,0,19_E_1_2,2019,26,1
19,E,1,4,2-year,1,conv,conv,corn,C2,1,0,0,1,19_E_1_4,2019,1,0
19,E,1,1,2-year,1,conv,conv,corn,C2,3,3,0,0,19_E_1_1,2019,61,3
19,E,2,3,2-year,1,conv,conv,corn,C2,1,0,0,1,19_E_2_3,2019,5,0
19,E,3,2,2-year,1,conv,conv,corn,C2,1,0,1,0,19_E_3_2,2019,44,1
19,E,3,4,2-year,1,conv,conv,corn,C2,2,0,1,1,19_E_3_4,2019,2,1
19,E,4,1,2-year,1,conv,conv,corn,C2,3,2,1,0,19_E_4_1,2019,187,3
19,E,4,3,2-year,1,conv,conv,corn,C2,1,0,0,1,19_E_4_3,2019,2,0
19,E,5,2,2-year,1,conv,conv,corn,C2,1,1,0,0,19_E_5_2,2019,45,1
19,E,5,1,2-year,1,conv,conv,corn,C2,6,4,2,0,19_E_5_1,2019,196,6
19,E,5,3,2-year,1,conv,conv,corn,C2,1,0,0,1,19_E_5_3,2019,4,0
19,E,6,2,2-year,1,conv,conv,corn,C2,1,0,1,0,19_E_6_2,2019,50,1
19,E,6,1,2-year,1,conv,conv,corn,C2,2,1,1,0,19_E_6_1,2019,130,2
19,E,7,2,2-year,1,conv,conv,corn,C2,3,0,2,1,19_E_7_2,2019,30,2
19,E,7,1,2-year,1,conv,conv,corn,C2,11,5,6,0,19_E_7_1,2019,21,11
19,E,7,3,2-year,1,conv,conv,corn,C2,2,1,0,1,19_E_7_3,2019,6,1
19,E,8,1,2-year,1,conv,conv,corn,C2,7,5,2,0,19_E_8_1,2019,56,7
19,W,1,2,2-year,1,low,low,corn,C2,1,0,1,0,19_W_1_2,2019,1,1
19,W,1,1,2-year,1,low,low,corn,C2,1,0,0,1,19_W_1_1,2019,33,0
19,W,3,1,2-year,1,low,low,corn,C2,1,0,0,1,19_W_3_1,2019,38,0
19,W,5,2,2-year,1,low,low,corn,C2,1,0,0,1,19_W_5_2,2019,15,0
19,W,6,2,2-year,1,low,low,corn,C2,4,3,0,1,19_W_6_2,2019,6,3
19,W,6,3,2-year,1,low,low,corn,C2,1,0,0,1,19_W_6_3,2019,1,0
19,W,7,3,2-year,1,low,low,corn,C2,1,0,1,0,19_W_7_3,2019,2,1
19,W,8,2,2-year,1,low,low,corn,C2,1,0,0,1,19_W_8_2,2019,16,0
21,E,4,1,4-year,2,conv,conv,corn,C4,1,1,0,0,21_E_4_1,2019,1,1
21,E,5,1,4-year,2,conv,conv,corn,C4,1,1,0,0,21_E_5_1,2019,2,1
21,E,7,1,4-year,2,conv,conv,corn,C4,3,2,1,0,21_E_7_1,2019,5,3
21,W,2,3,4-year,2,low,low,corn,C4,1,0,1,0,21_W_2_3,2019,2,1
21,W,2,4,4-year,2,low,low,corn,C4,1,0,0,1,21_W_2_4,2019,2,0
21,W,2,2,4-year,2,low,low,corn,C4,1,0,0,1,21_W_2_2,2019,1,0
21,W,6,3,4-year,2,low,low,corn,C4,1,0,0,1,21_W_6_3,2019,1,0
21,W,7,3,4-year,2,low,low,corn,C4,1,0,0,1,21_W_7_3,2019,1,0
22,E,1,3,4-year,2,low,low,alfalfa,A4,6,3,3,0,22_E_1_3,2019,25,6
22,E,1,2,4-year,2,low,low,alfalfa,A4,3,0,3,0,22_E_1_2,2019,24,3
22,E,1,5,4-year,2,low,low,alfalfa,A4,4,1,3,0,22_E_1_5,2019,4,4
22,E,2,3,4-year,2,low,low,alfalfa,A4,6,4,2,0,22_E_2_3,2019,66,6
22,E,2,2,4-year,2,low,low,alfalfa,A4,3,2,1,0,22_E_2_2,2019,44,3
22,E,2,4,4-year,2,low,low,alfalfa,A4,2,2,0,0,22_E_2_4,2019,7,2
22,E,2,5,4-year,2,low,low,alfalfa,A4,3,2,0,1,22_E_2_5,2019,5,2
22,E,3,3,4-year,2,low,low,alfalfa,A4,2,1,1,0,22_E_3_3,2019,36,2
22,E,3,4,4-year,2,low,low,alfalfa,A4,6,6,0,0,22_E_3_4,2019,9,6
22,E,3,5,4-year,2,low,low,alfalfa,A4,4,3,1,0,22_E_3_5,2019,5,4
22,E,3,1,4-year,2,low,low,alfalfa,A4,2,2,0,0,22_E_3_1,2019,14,2
22,E,4,3,4-year,2,low,low,alfalfa,A4,10,10,0,0,22_E_4_3,2019,68,10
22,E,4,2,4-year,2,low,low,alfalfa,A4,13,12,1,0,22_E_4_2,2019,52,13
22,E,6,3,4-year,2,low,low,alfalfa,A4,23,13,10,0,22_E_6_3,2019,57,23
22,E,6,2,4-year,2,low,low,alfalfa,A4,16,5,11,0,22_E_6_2,2019,39,16
22,E,6,4,4-year,2,low,low,alfalfa,A4,2,2,0,0,22_E_6_4,2019,9,2
22,W,2,3,4-year,2,conv,conv,alfalfa,A4,11,10,1,0,22_W_2_3,2019,77,11
22,W,2,2,4-year,2,conv,conv,alfalfa,A4,10,6,4,0,22_W_2_2,2019,38,10
22,W,3,3,4-year,2,conv,conv,alfalfa,A4,1,0,1,0,22_W_3_3,2019,12,1
22,W,3,2,4-year,2,conv,conv,alfalfa,A4,1,0,1,0,22_W_3_2,2019,11,1
23,E,4,4,3-year,2,low,low,oat,O3,2,2,0,0,23_E_4_4,2019,7,2
23,W,1,1,3-year,2,conv,conv,oat,O3,1,0,1,0,23_W_1_1,2019,52,1
23,W,1,2,3-year,2,conv,conv,oat,O3,1,1,0,0,23_W_1_2,2019,6,1
23,W,2,1,3-year,2,conv,conv,oat,O3,1,1,0,0,23_W_2_1,2019,47,1
23,W,3,1,3-year,2,conv,conv,oat,O3,1,0,1,0,23_W_3_1,2019,43,1
23,W,4,1,3-year,2,conv,conv,oat,O3,7,5,2,0,23_W_4_1,2019,83,7
23,W,4,2,3-year,2,conv,conv,oat,O3,3,3,0,0,23_W_4_2,2019,3,3
23,W,5,4,3-year,2,conv,conv,oat,O3,1,0,1,0,23_W_5_4,2019,1,1
23,W,5,1,3-year,2,conv,conv,oat,O3,17,7,10,0,23_W_5_1,2019,67,17
23,W,5,2,3-year,2,conv,conv,oat,O3,15,12,3,0,23_W_5_2,2019,41,15
23,W,5,3,3-year,2,conv,conv,oat,O3,1,0,1,0,23_W_5_3,2019,50,1
23,W,6,1,3-year,2,conv,conv,oat,O3,3,3,0,0,23_W_6_1,2019,22,3
23,W,7,1,3-year,2,conv,conv,oat,O3,2,0,2,0,23_W_7_1,2019,79,2
23,W,8,1,3-year,2,conv,conv,oat,O3,1,0,1,0,23_W_8_1,2019,51,1
25,E,1,4,3-year,2,conv,conv,corn,C3,1,0,0,1,25_E_1_4,2019,2,0
25,E,1,2,3-year,2,conv,conv,corn,C3,4,3,0,1,25_E_1_2,2019,17,3
25,E,1,1,3-year,2,conv,conv,corn,C3,4,2,2,0,25_E_1_1,2019,13,4
25,E,2,4,3-year,2,conv,conv,corn,C3,1,0,0,1,25_E_2_4,2019,1,0
25,E,2,1,3-year,2,conv,conv,corn,C3,1,1,0,0,25_E_2_1,2019,16,1
25,E,2,3,3-year,2,conv,conv,corn,C3,1,0,0,1,25_E_2_3,2019,1,0
25,E,3,1,3-year,2,conv,conv,corn,C3,5,2,3,0,25_E_3_1,2019,36,5
25,E,3,3,3-year,2,conv,conv,corn,C3,4,0,0,4,25_E_3_3,2019,4,0
25,E,4,4,3-year,2,conv,conv,corn,C3,1,0,1,0,25_E_4_4,2019,1,1
25,E,4,2,3-year,2,conv,conv,corn,C3,3,0,1,2,25_E_4_2,2019,13,1
25,E,4,3,3-year,2,conv,conv,corn,C3,3,0,0,3,25_E_4_3,2019,5,0
25,E,5,4,3-year,2,conv,conv,corn,C3,1,0,0,1,25_E_5_4,2019,2,0
25,E,5,2,3-year,2,conv,conv,corn,C3,2,2,0,0,25_E_5_2,2019,5,2
25,E,5,3,3-year,2,conv,conv,corn,C3,1,0,0,1,25_E_5_3,2019,5,0
25,E,6,1,3-year,2,conv,conv,corn,C3,1,1,0,0,25_E_6_1,2019,13,1
25,E,6,3,3-year,2,conv,conv,corn,C3,1,0,0,1,25_E_6_3,2019,1,0
25,E,8,4,3-year,2,conv,conv,corn,C3,1,0,0,1,25_E_8_4,2019,1,0
25,E,8,2,3-year,2,conv,conv,corn,C3,2,1,1,0,25_E_8_2,2019,2,2
25,E,8,1,3-year,2,conv,conv,corn,C3,2,1,0,1,25_E_8_1,2019,5,1
25,W,1,2,3-year,2,low,low,corn,C3,3,2,1,0,25_W_1_2,2019,12,3
25,W,1,1,3-year,2,low,low,corn,C3,1,1,0,0,25_W_1_1,2019,25,1
25,W,2,4,3-year,2,low,low,corn,C3,2,0,0,2,25_W_2_4,2019,2,0
25,W,2,1,3-year,2,low,low,corn,C3,2,2,0,0,25_W_2_1,2019,23,2
25,W,3,4,3-year,2,low,low,corn,C3,1,0,0,1,25_W_3_4,2019,2,0
25,W,3,2,3-year,2,low,low,corn,C3,3,0,0,3,25_W_3_2,2019,6,0
25,W,3,1,3-year,2,low,low,corn,C3,1,1,0,0,25_W_3_1,2019,18,1
25,W,3,3,3-year,2,low,low,corn,C3,4,0,0,4,25_W_3_3,2019,7,0
25,W,4,4,3-year,2,low,low,corn,C3,2,1,0,1,25_W_4_4,2019,2,1
25,W,4,2,3-year,2,low,low,corn,C3,3,0,1,2,25_W_4_2,2019,3,1
25,W,4,1,3-year,2,low,low,corn,C3,1,1,0,0,25_W_4_1,2019,114,1
25,W,4,3,3-year,2,low,low,corn,C3,5,3,0,2,25_W_4_3,2019,11,3
25,W,5,1,3-year,2,low,low,corn,C3,3,0,1,2,25_W_5_1,2019,105,1
25,W,5,3,3-year,2,low,low,corn,C3,2,0,1,1,25_W_5_3,2019,3,1
25,W,8,4,3-year,2,low,low,corn,C3,1,0,0,1,25_W_8_4,2019,1,0
27,E,1,3,2-year,2,low,low,corn,C2,1,0,0,1,27_E_1_3,2019,12,0
27,E,1,4,2-year,2,low,low,corn,C2,1,0,0,1,27_E_1_4,2019,1,0
27,E,3,2,2-year,2,low,low,corn,C2,1,1,0,0,27_E_3_2,2019,53,1
27,E,4,2,2-year,2,low,low,corn,C2,3,0,1,2,27_E_4_2,2019,45,1
27,E,7,3,2-year,2,low,low,corn,C2,1,0,0,1,27_E_7_3,2019,1,0
27,E,7,2,2-year,2,low,low,corn,C2,2,0,1,1,27_E_7_2,2019,28,1
27,E,8,1,2-year,2,low,low,corn,C2,1,0,1,0,27_E_8_1,2019,160,1
27,W,2,3,2-year,2,conv,conv,corn,C2,1,0,0,1,27_W_2_3,2019,4,0
27,W,2,1,2-year,2,conv,conv,corn,C2,6,3,3,0,27_W_2_1,2019,12,6
27,W,2,2,2-year,2,conv,conv,corn,C2,1,1,0,0,27_W_2_2,2019,11,1
27,W,3,4,2-year,2,conv,conv,corn,C2,1,0,0,1,27_W_3_4,2019,1,0
27,W,3,1,2-year,2,conv,conv,corn,C2,9,6,3,0,27_W_3_1,2019,40,9
27,W,3,2,2-year,2,conv,conv,corn,C2,2,1,0,1,27_W_3_2,2019,6,1
27,W,4,2,2-year,2,conv,conv,corn,C2,2,2,0,0,27_W_4_2,2019,19,2
27,W,5,3,2-year,2,conv,conv,corn,C2,1,0,0,1,27_W_5_3,2019,1,0
27,W,5,1,2-year,2,conv,conv,corn,C2,1,0,0,1,27_W_5_1,2019,19,0
27,W,5,2,2-year,2,conv,conv,corn,C2,1,0,1,0,27_W_5_2,2019,6,1
27,W,6,1,2-year,2,conv,conv,corn,C2,3,1,2,0,27_W_6_1,2019,42,3
27,W,6,2,2-year,2,conv,conv,corn,C2,2,1,1,0,27_W_6_2,2019,51,2
27,W,7,4,2-year,2,conv,conv,corn,C2,1,0,1,0,27_W_7_4,2019,1,1
27,W,7,2,2-year,2,conv,conv,corn,C2,4,2,0,2,27_W_7_2,2019,19,2
27,W,8,2,2-year,2,conv,conv,corn,C2,1,0,0,1,27_W_8_2,2019,19,0
29,E,1,4,4-year,2,low,low,oat,O4,1,1,0,0,29_E_1_4,2019,14,1
29,E,2,1,4-year,2,low,low,oat,O4,1,1,0,0,29_E_2_1,2019,16,1
29,E,4,5,4-year,2,low,low,oat,O4,1,1,0,0,29_E_4_5,2019,2,1
