Date,Plot,Side,Crop,Rotation,Herbicide,Corn_weed_management,id,Full bag weight,Empty bag + tag,Nseed,Biomass,Stem less panicle,Chaffed seeds weight,clean seed weight,Whole
24-Apr,21,E,alfalfa,4-year,low,low,3,1.8393,1.6488,3,0.1905,,,0.0008,Y
17-May,21,E,alfalfa,4-year,low,low,22,1.6794,1.6255,2,0.0539,,,0,Y
23-May,21,E,alfalfa,4-year,low,low,24,2.0219,1.665,0,0.3569,,,0,Y
24-Apr,21,E,alfalfa,4-year,low,low,2,1.6314,1.5972,3,0.0342,,,0.0004,Y
20-May,21,E,alfalfa,4-year,low,low,3,1.9133,1.6275,0,0.2858,,,0,Y
21-May,21,E,alfalfa,4-year,low,low,31,1.8439,1.6997,10,0.1442,,,0.0027,Y
7-Aug,21,E,alfalfa,4-year,low,low,33,1.6821,1.6266,0,0.0555,,,0,Y
21-May,21,E,alfalfa,4-year,low,low,34,1.9548,1.8938,0,0.061,,,0,Y
20-May,21,W,alfalfa,4-year,conv,conv,1,1.9012,1.7631,0,0.1381,,,0,Y
21-May,21,W,alfalfa,4-year,conv,conv,3,1.7788,1.7632,4,0.0156,,,0.004,Y
7-Aug,21,W,alfalfa,4-year,conv,conv,8,1.6872,1.6322,7,0.055,,,0.0021,Y
21-May,21,W,alfalfa,4-year,conv,conv,10,1.5856,1.4853,3,0.1003,,,0.0003,Y
7-Aug,21,W,alfalfa,4-year,conv,conv,11,1.7112,1.6633,0,0.0479,,,0,Y
24-Apr,21,W,alfalfa,4-year,conv,conv,16,1.6915,1.637,6,0.0545,,,0.001,Y
8-Feb,21,W,alfalfa,4-year,conv,conv,27,10.3,3.8,,6.5,,,,Y
21-May,21,W,alfalfa,4-year,conv,conv,33,1.7386,1.5927,5,0.1459,,,0.0006,Y
28-May,21,W,alfalfa,4-year,conv,conv,42,2.2009,1.6456,26,0.5553,,,0.0046,Y
8-Aug,22,E,alfalfa,4-year,conv,conv,1,2.0908,1.4182,306,0.6726,,,0.0574,Y
10-Aug,22,E,alfalfa,4-year,conv,conv,3,3.6368,1.8073,1075,1.8295,,,0.252,Y
20-Jul,31,E,alfalfa,4-year,conv,conv,6,1.888,1.6288,14,0.2592,,,0.0038,Y
21-May,31,E,alfalfa,4-year,conv,conv,7,1.7519,1.6927,2,0.0592,,,0.0002,Y
7-Aug,31,E,alfalfa,4-year,conv,conv,9,1.8842,1.6812,0,0.203,,,0,Y
10-Dec,31,E,alfalfa,4-year,conv,conv,10,1.9337,1.8145,0,0.1192,.,.,0,Y
21-May,31,E,alfalfa,4-year,conv,conv,11,1.8095,1.5921,34,0.2174,,,0.0068,Y
10-Dec,31,E,alfalfa,4-year,conv,conv,17,2.2148,1.8315,0,0.3833,.,.,0,Y
21-May,31,E,alfalfa,4-year,conv,conv,18,1.9519,1.653,3,0.2989,,,0.0006,Y
20-May,31,E,alfalfa,4-year,conv,conv,26,2.0141,1.6997,0,0.3144,,,0,Y
20-May,31,W,alfalfa,4-year,low,low,1,1.677,1.6187,0,0.0583,,,0,Y
21-May,31,W,alfalfa,4-year,low,low,1,2.2155,1.7572,13,0.4583,,,0.0024,Y
21-May,31,W,alfalfa,4-year,low,low,4,1.7679,1.623,0,0.1449,,,0,Y
21-May,31,W,alfalfa,4-year,low,low,9,2.0552,1.7097,20,0.3455,,,0.0033,Y
20-Jul,31,W,alfalfa,4-year,low,low,14,2.8632,1.5978,1,1.2654,,,0,Y
20-Jul,31,W,alfalfa,4-year,low,low,22,2.6712,1.8335,4,0.8377,,,0.0012,Y
10-Dec,31,W,alfalfa,4-year,low,low,24,2.1392,2.0104,0,0.1288,.,.,0,Y
4-Jan,13,E,corn,2-year,conv,conv,38,41.6,28.8,,12.8,,,,Y
20-Jul,13,E,corn,2-year,conv,conv,41,6.4294,3.8002,,2.6292,,,,Y
4-Jan,13,E,corn,2-year,conv,conv,42,38.2,28.9,,9.3,,,,Y
4-Jan,13,E,corn,2-year,conv,conv,50,7.6,3.8,,3.8,,,,Y
8-Feb,13,E,corn,2-year,conv,conv,51,4.6679,3.7438,196,0.9241,,,0.0363,Y
4-Jan,13,E,corn,2-year,conv,conv,63,6.1,3.8,,2.3,,,,Y
4-Jan,13,E,corn,2-year,conv,conv,91,4.7,4,,0.7,,,,Y
8-Feb,13,E,corn,2-year,conv,conv,95,4.841,3.9073,255,0.9337,,,0.0665,Y
4-Jan,13,E,corn,2-year,conv,conv,97,9.5,,,9.5,,,,Y
7-Aug,13,W,corn,2-year,low,low,3,1.7283,1.5088,62,0.2195,,,0.0102,Y
8-Feb,13,W,corn,2-year,low,low,13,4.0996,3.8656,33,0.234,,,0.0072,Y
11-Feb,13,W,corn,2-year,low,low,20,29.5,22.7,,6.8,,,,Y
4-Jan,13,W,corn,2-year,low,low,40,25.3,22.7,2458,2.6,,,,Y
24-Apr,13,W,corn,2-year,low,low,44,5.1452,4.561,655,0.5842,,,0.1289,Y
4-Jan,13,W,corn,2-year,low,low,59,5.3,3.9,,1.4,,,,Y
4-Jan,13,W,corn,2-year,low,low,64,24.4,21.8,,2.6,,,,Y
4-Jan,13,W,corn,2-year,low,low,80,31,29.4,30,1.6,,,0.1007,Y
4-Jan,13,W,corn,2-year,low,low,89,2.6,1.8324,963,0.7676,,,0.1936,Y
4-Feb,13,W,corn,2-year,low,low,93,2.8775,1.7846,147,1.0929,,,0.0269,Y
10-Aug,15,E,corn,3-year,conv,conv,1,4.3923,3.8435,319,0.5488,,,0.0918,Y
7-Aug,15,E,corn,3-year,conv,conv,2,5.4246,3.7832,889,1.6414,,,0.1404,Y
4-Jan,15,E,corn,3-year,conv,conv,3,28.5,21.5,,7,,,,Y
11-Feb,15,E,corn,3-year,conv,conv,20,26.3,,,26.3,,,,Y
7-Aug,15,E,corn,3-year,conv,conv,18,1.9303,1.6256,95,0.3047,,,0.0148,Y
10-Aug,15,E,corn,3-year,conv,conv,17,1.8787,1.7037,124,0.175,,,0.0254,Y
24-Apr,15,E,corn,3-year,conv,conv,23,2.1301,1.6859,186,0.4442,,,0.0464,Y
4-Jan,15,E,corn,3-year,conv,conv,100,62.3,23,,39.3,,,,Y
24-Apr,15,W,corn,3-year,conv,conv,2,3.8983,3.4911,401,0.4072,,,0.0937,Y
24-Apr,15,W,corn,3-year,conv,conv,4,4.0637,3.6351,227,0.4286,,,0.0534,Y
8-Feb,15,W,corn,3-year,conv,conv,59,5.158,3.9954,93,1.1626,,,0.0218,Y
6-Aug,15,W,corn,3-year,conv,conv,12,7.3297,1.4941,,5.8356,,,,Y
4-Feb,15,W,corn,3-year,conv,conv,100,46.2,26.8,,19.4,,,,Y
16-Jan,15,W,corn,3-year,conv,conv,101,4.5001,4.2093,2,0.2908,,,0.0005,Y
24-Apr,18,E,corn,4-year,conv,conv,22,2.4573,1.7438,685,0.7135,,,0.1461,Y
24-Apr,18,E,corn,4-year,conv,conv,24,2.5001,1.8617,284,0.6384,,,0.04,Y
4-Jan,18,E,corn,4-year,conv,conv,6,36,27.8,,8.2,,,,Y
20-Jul,18,E,corn,4-year,conv,conv,5,5.6163,2.1992,,3.4171,,,,Y
6-Aug,18,E,corn,4-year,conv,conv,2,12.9251,2.6795,,10.2456,,,,Y
20-Jul,18,W,corn,4-year,low,low,1,4.3925,3.8131,96,0.5794,,,0.0203,Y
17-May,18,W,corn,4-year,low,low,2,2.5658,1.7314,545,0.8344,,,0.1403,Y
20-Jul,18,W,corn,4-year,low,low,4,4.2357,3.7689,149,0.4668,,,0.0319,Y
20-Jul,18,W,corn,4-year,low,low,5,10.0448,3.6727,,6.3721,,,,Y
7-Aug,18,W,corn,4-year,low,low,6,4.3483,3.8039,318,0.5444,,,0.0789,Y
4-Jan,18,W,corn,4-year,low,low,12,31.5,26.7,2781,4.8,,,0.5137,Y
7-Aug,18,W,corn,4-year,low,low,2,3.2776,1.6858,,1.5918,,,,Y
7-Aug,18,W,corn,4-year,low,low,3,3.3017,1.7009,1526,1.6008,,,0.2817,Y
11-Feb,24,E,corn,2-year,conv,conv,1,38.7,29.1,,9.6,,,,Y
20-Jul,24,E,corn,2-year,conv,conv,2,7.3319,4.2033,,3.1286,,,,Y
11-Feb,24,E,corn,2-year,conv,conv,3,39.2,28.9,,10.3,,,,Y
11-Mar,24,E,corn,2-year,conv,conv,7,4.6952,3.6213,361,1.0739,,,0.0729,Y
11-Feb,24,E,corn,2-year,conv,conv,8,42.8,29.6,,13.2,,,,Y
20-Feb,24,E,corn,2-year,conv,conv,10,4.3843,4.0049,45,0.3794,,,0.0092,Y
7-Aug,24,W,corn,2-year,low,low,1,4.4959,3.7333,398,0.7626,,,0.1111,Y
7-Aug,24,W,corn,2-year,low,low,3,5.2544,3.6512,1281,1.6032,,,0.2493,Y
11-Feb,24,W,corn,2-year,low,low,4,7.1,3.6,,3.5,,,,Y
11-Feb,24,W,corn,2-year,low,low,6,37.5,29.7,,7.8,,,,Y
26-Feb,24,W,corn,2-year,low,low,7,6.4428,3.73,1241,2.7128,,,0.272,Y
13-Feb,24,W,corn,2-year,low,low,113,3.8002,3.6901,14,0.1101,,,0.0027,Y
13-Feb,24,W,corn,2-year,low,low,13,1.631,1.6205,156,0.0105,,,0.0417,Y
26-Feb,24,W,corn,2-year,low,low,14,4.7758,3.7115,480,1.0643,,,0.095,Y
22-Feb,24,W,corn,2-year,low,low,22,3.7148,2.0682,215,1.6466,,,0.0542,Y
1-Mar,26,E,corn,3-year,low,low,2,4.4889,4.4451,138,0.0438,,,0.0228,Y
1-Mar,26,E,corn,3-year,low,low,3,3.9033,3.8847,7,0.0186,,,0.0019,Y
4-Mar,26,E,corn,3-year,low,low,11,2.5393,1.5304,32,1.0089,,,0.0116,Y
4-Mar,26,E,corn,3-year,low,low,15,2.015,1.4591,104,0.5559,,,0.0512,Y
1-Mar,26,E,corn,3-year,low,low,31,4.708,2.1344,807,2.5736,,,0.2489,Y
4-Mar,26,E,corn,3-year,low,low,41,2.8295,1.9878,335,0.8417,,,0.055,Y
4-Mar,26,E,corn,3-year,low,low,43,2.7901,2.2579,137,0.5322,,,0.0291,Y
4-Mar,26,E,corn,3-year,low,low,53,4.0155,3.8758,16,0.1397,,,0.0035,Y
13-Feb,26,W,corn,3-year,conv,conv,27,35,26.9,,8.1,,,,Y
13-Feb,26,W,corn,3-year,conv,conv,21,46,26.9,,19.1,,,,Y
13-Feb,26,W,corn,3-year,conv,conv,23,47,19,,28,,,,Y
1-Mar,28,E,corn,4-year,low,low,3,1.8939,1.7756,55,0.1183,,,0.0125,Y
6-Mar,28,E,corn,4-year,low,low,6,2.0158,1.6416,96,0.3742,,,0.0224,Y
13-Feb,28,E,corn,4-year,low,low,7,3.607,3.521,5,0.086,,,0.0011,Y
13-Feb,28,E,corn,4-year,low,low,10,3.8046,3.6756,12,0.129,,,0.0025,Y
11-Feb,28,E,corn,4-year,low,low,27,46.7,26.4,,20.3,,,,Y
6-Mar,28,E,corn,4-year,low,low,15,5.3675,2.1653,2133,3.2022,,,0.5066,Y
6-Aug,28,E,corn,4-year,low,low,17,7.6233,2.3189,,5.3044,,,,Y
13-Feb,28,W,corn,4-year,conv,conv,2,6.3545,4.3051,79,2.0494,,,0.0197,Y
10-Jun,28,W,corn,4-year,conv,conv,3,3.7479,3.5859,55,0.162,,,0.0092,Y
1-Mar,28,W,corn,4-year,conv,conv,4,3.2287,2.2549,1,0.9738,,,0.0001,Y
11-Feb,28,W,corn,4-year,conv,conv,27,42.3,26.9,,15.4,,,,Y
20-Jul,28,W,corn,4-year,conv,conv,11,4.9858,2.2507,,2.7351,,,,Y
16-Jan,28,W,corn,4-year,conv,conv,10,37.4,28.5,,8.9,,,,Y
13-Feb,34,E,corn,2-year,conv,conv,1,46.7,29.3,,17.4,,,,Y
13-Feb,34,E,corn,2-year,conv,conv,2,42.7,29,,13.7,,,,Y
18-Feb,34,E,corn,2-year,conv,conv,9,44,28.7,,15.3,,,,Y
13-Feb,34,E,corn,2-year,conv,conv,10,69.1,29.3,,39.8,,,,Y
18-Feb,34,E,corn,2-year,conv,conv,11,45,29.8,,15.2,,,,Y
7-Aug,34,E,corn,2-year,conv,conv,31,6.8633,4.2805,2315,2.5828,,,0.5003,Y
13-Feb,34,E,corn,2-year,conv,conv,13,8.9,4.4,,4.5,,,,Y
18-Feb,34,W,corn,2-year,low,low,5,5.7338,4.2156,405,1.5182,,,0.0574,Y
22-Feb,34,W,corn,2-year,low,low,7,3.5623,3.4948,14,0.0675,,,0.0035,Y
22-Feb,34,W,corn,2-year,low,low,9,4.0355,3.905,22,0.1305,,,0.0057,Y
20-Feb,34,W,corn,2-year,low,low,20,2.4202,1.7555,145,0.6647,,,0.0338,Y
18-Feb,34,W,corn,2-year,low,low,22,6.3,2.3,,4,,,,Y
18-Feb,34,W,corn,2-year,low,low,102,62,29.1,,32.9,,,,Y
22-Feb,36,E,corn,3-year,conv,conv,1,4.7409,4.0815,87,0.6594,,,0.0241,Y
13-Feb,36,E,corn,3-year,conv,conv,2,35.1,29,,6.1,,,,Y
13-Feb,36,E,corn,3-year,conv,conv,19,28.8,23.1,,5.7,,,,Y
8-Feb,36,E,corn,3-year,conv,conv,22,57.4,29.1,,28.3,,,,Y
10-Aug,36,W,corn,3-year,low,low,3,4.1024,1.8562,38,2.2462,,,0.0079,Y
20-Feb,36,W,corn,3-year,low,low,4,4.0169,3.7958,21,0.2211,,,0.004,Y
7-Mar,36,W,corn,3-year,low,low,7,2.4508,1.5286,305,0.9222,,,0.1007,Y
7-Mar,36,W,corn,3-year,low,low,9,3.667,3.4953,20,0.1717,,,0.0058,Y
20-Feb,36,W,corn,3-year,low,low,11,3.831,3.7593,51,0.0717,,,0.0133,Y
22-Feb,36,W,corn,3-year,low,low,22,2.6586,2.186,101,0.4726,,,0.0288,Y
8-Feb,36,W,corn,3-year,low,low,44,37.5,28.6,,8.9,,,,Y
11-Dec,37,E,corn,4-year,conv,conv,15,324.6,152.8,,171.8,,99.2,,Y
24-May,37,E,corn,4-year,conv,conv,19,4.8823,2.3053,1365,2.577,,,0.2835,Y
24-Apr,37,E,corn,4-year,conv,conv,23,2.6453,1.7992,816,0.8461,,,0.143,Y
20-Jul,37,E,corn,4-year,conv,conv,24,2.2242,1.6877,479,0.5365,,,0.0931,Y
11-Feb,37,E,corn,4-year,conv,conv,27,28.4,.,,#VALUE!,,,,Y
13-Feb,37,E,corn,4-year,conv,conv,17,38.1,26.7,,11.4,,,,Y
4-Feb,37,E,corn,4-year,conv,conv,100,58,29.8,,28.2,,,,Y
7-Aug,37,E,corn,4-year,conv,conv,50,3.8738,1.5581,,2.3157,,,,Y
13-Feb,37,E,corn,4-year,conv,conv,101,35.5,26.7,,8.8,,,,Y
13-Feb,37,W,corn,4-year,low,low,2,42.9,29.6,,13.3,,,,Y
13-Feb,37,W,corn,4-year,low,low,5,28.6,22.2,,6.4,,,,Y
1-Mar,37,W,corn,4-year,low,low,9,4.8151,4.2049,294,0.6102,,,0.0934,Y
1-Mar,37,W,corn,4-year,low,low,10,5.5847,4.1797,1964,1.405,,,0.3591,Y
1-Mar,37,W,corn,4-year,low,low,12,3.643,3.5085,25,0.1345,,,0.0048,Y
20-Feb,37,W,corn,4-year,low,low,20,2.8034,1.3305,84,1.4729,,,0.0201,Y
1-Mar,37,W,corn,4-year,low,low,6,6.9048,2.2034,5653,4.7014,,,1.4796,Y
13-Feb,37,W,corn,4-year,low,low,132,27.1,21.6,,5.5,,,,Y
10-Aug,43,E,corn,2-year,low,low,1,1.7993,1.6608,0,0.1385,,,0,Y
20-Jul,43,E,corn,2-year,low,low,2,1.725,1.472,19,0.253,,,0.0038,Y
20-Jul,43,E,corn,2-year,low,low,7,2.0864,1.4604,78,0.626,,,0.0103,Y
4-Jan,44,E,corn,2-year,low,low,2,52.2,28.8,,23.4,,,,Y
16-May,44,E,corn,2-year,low,low,3,4.3985,3.7975,498,0.601,,,0.1057,Y
6-Aug,44,E,corn,2-year,low,low,14,3.5105,1.8719,997,1.6386,,,0.2759,Y
24-Apr,44,E,corn,2-year,low,low,15,2.0254,1.8889,3,0.1365,,,0.0007,Y
11-Feb,44,E,corn,2-year,low,low,20,30,21.1,,8.9,,,,Y
20-Jul,44,E,corn,2-year,low,low,25,4.1324,1.7982,,2.3342,,,,Y
8-Feb,44,E,corn,2-year,low,low,38,9,3.8,,5.2,,,,Y
4-Feb,44,E,corn,2-year,low,low,100,38.9,26.8,,12.1,,,,Y
7-Aug,44,E,corn,2-year,low,low,15,2.6281,1.5906,905,1.0375,,,,Y
4-Jan,44,W,corn,2-year,conv,conv,1,84.4,29.1,,55.3,,,,Y
7-Aug,44,W,corn,2-year,conv,conv,5,4.1352,3.4927,342,0.6425,,,0.0667,Y
12-Mar,44,W,corn,2-year,conv,conv,8,7.928,3.9038,1046,4.0242,,,0.2445,Y
16-May,44,W,corn,2-year,conv,conv,13,24.1,21.1,,3,,,,Y
7-Aug,44,W,corn,2-year,conv,conv,16,4.2914,3.7249,522,0.5665,,,0.1046,Y
4-Jan,44,W,corn,2-year,conv,conv,22,35.7,28.6,,7.1,,,,Y
7-Aug,44,W,corn,2-year,conv,conv,47,8.1984,4.6924,4007,3.506,,,0.8295,Y
4-Jan,44,W,corn,2-year,conv,conv,48,37.3,29.4,,7.9,,,,Y
4-Jan,44,W,corn,2-year,conv,conv,103,41.1,28.8,,12.3,,,,Y
16-Jan,45,W,corn,2-year,conv,conv,10,51.2,28.7,,22.5,,,,Y
8-Feb,45,W,corn,2-year,conv,conv,16,71.1,29.1,,42,,,,Y
11-Feb,45,W,corn,2-year,conv,conv,80,36.7,28.9,,7.8,,,,Y
20-Jul,46,E,corn,4-year,conv,conv,16,3.9312,1.7666,,2.1646,,,,Y
20-Jul,46,W,corn,4-year,low,low,1,3.8314,3.7896,2,0.0418,,,0.0005,Y
20-Jul,46,W,corn,4-year,low,low,5,1.6797,1.5949,13,0.0848,,,0.0027,Y
20-Jul,46,W,corn,4-year,low,low,10,1.8785,1.7178,46,0.1607,,,0.0092,Y
20-Jul,46,W,corn,4-year,low,low,12,2.7455,1.8152,519,0.9303,,,0.1035,Y
20-Jul,46,W,corn,4-year,low,low,15,1.9326,1.6984,126,0.2342,,,0.0606,Y
20-Jul,46,W,corn,4-year,low,low,42,4.2494,1.7882,,2.4612,,,,Y
6-Aug,46,W,corn,4-year,low,low,57,6.055,2.1747,,3.8803,,,,Y
20-Jul,46,W,corn,4-year,low,low,61,4.6984,1.7157,,2.9827,,,,Y
24-Apr,47,E,corn,3-year,low,low,4,3.9868,3.8522,73,0.1346,,,0.0207,Y
8-Feb,47,E,corn,3-year,low,low,5,4.3101,3.7098,11,0.6003,,,0.0019,Y
24-Apr,47,E,corn,3-year,low,low,8,4.2019,4.0004,75,0.2015,,,0.0151,Y
24-Apr,47,E,corn,3-year,low,low,9,1.7933,1.6921,33,0.1012,,,0.0041,Y
20-Jul,47,E,corn,3-year,low,low,10,2.1928,1.7094,379,0.4834,,,0.0822,Y
7-Aug,47,E,corn,3-year,low,low,11,2.3088,1.7444,577,0.5644,,,0.1079,Y
8-Aug,47,E,corn,3-year,low,low,12,1.8236,1.7783,9,0.0453,,,0.0014,Y
7-Aug,47,E,corn,3-year,low,low,14,3.1419,2.1398,912,1.0021,,,0.2201,Y
7-Aug,47,W,corn,3-year,conv,conv,2,1.7715,1.5278,80,0.2437,,,0.0211,Y
11-Feb,47,W,corn,3-year,conv,conv,20,37.6,20.2,,17.4,,,,Y
10-Aug,16,E,oat,3-year,low,low,1,3.2585,1.8041,162,1.4544,,,0.0404,Y
8-Aug,16,E,oat,3-year,low,low,7,2.4296,1.7477,187,0.6819,,,0.0369,Y
8-Aug,16,E,oat,3-year,low,low,13,2.0718,1.6248,63,0.447,,,0.0122,Y
8-Aug,16,E,oat,3-year,low,low,14,2.5798,1.6888,331,0.891,,,0.0755,Y
8-Aug,16,E,oat,3-year,low,low,15,1.9297,1.7434,59,0.1863,,,0.0123,Y
8-Aug,16,E,oat,3-year,low,low,16,1.7116,1.6356,33,0.076,,,0.0069,Y
10-Aug,16,E,oat,3-year,low,low,17,2.0836,1.6979,135,0.3857,,,0.0321,Y
10-Aug,16,E,oat,3-year,low,low,18,1.9495,1.4581,158,0.4914,,,0.029,Y
8-Aug,16,W,oat,3-year,conv,conv,1,2.4241,1.6097,673,0.8144,,,0.1869,Y
8-Aug,16,W,oat,3-year,conv,conv,2,2.0012,1.6677,179,0.3335,,,0.0345,Y
8-Aug,16,W,oat,3-year,conv,conv,4,4.7162,1.7173,895,2.9989,,,0.1802,Y
7-Dec,16,W,oat,3-year,conv,conv,5,51.3,26.5,,24.8,12.4,11.6,,Y
10-Aug,16,W,oat,3-year,conv,conv,10,2.7937,1.577,303,1.2167,,,0.0679,Y
8-Aug,16,W,oat,3-year,conv,conv,12,4.5544,1.7599,1734,2.7945,,,0.2729,Y
8-Aug,16,W,oat,3-year,conv,conv,16,2.0305,1.4763,42,0.5542,,,0.0084,Y
8-Aug,16,W,oat,3-year,conv,conv,17,3.3176,1.6446,57,1.673,,,0.0118,Y
16-Jan,16,W,oat,3-year,conv,conv,9,40.4,28.8,,11.6,,,,Y
10-Aug,17,E,oat,4-year,conv,conv,2,2.3186,1.852,265,0.4666,,,0.0599,Y
6-Dec,17,E,oat,4-year,conv,conv,9,34.6,26.9,,7.7,4,3.3,,Y
4-Dec,17,E,oat,4-year,conv,conv,11,26.1,20,,6.1,2.2,3.4,,Y
4-Dec,17,E,oat,4-year,conv,conv,15,26.1,19.7,,6.4,3.1,2.6,,Y
10-Aug,17,E,oat,4-year,conv,conv,19,2.5941,1.7727,215,0.8214,,,0.0649,Y
10-Aug,17,E,oat,4-year,conv,conv,25,3.4258,1.5186,673,1.9072,,,0.1418,Y
3-Dec,17,E,oat,4-year,conv,conv,26,38.6,26.5,,12.1,6.6,4.7,,Y
8-Aug,17,E,oat,4-year,conv,conv,27,2.0013,1.6331,272,0.3682,,,0.0509,Y
8-Aug,17,W,oat,4-year,low,low,1,3.5253,1.5266,1938,1.9987,,,0.3376,Y
8-Aug,17,W,oat,4-year,low,low,4,2.6206,1.4221,533,1.1985,,,0.1435,Y
6-Dec,17,W,oat,4-year,low,low,6,36.3,26.6,,9.7,4.9,4.3,,Y
10-Aug,17,W,oat,4-year,low,low,10,2.0052,1.4412,350,0.564,,,0.0669,Y
8-Aug,17,W,oat,4-year,low,low,11,2.0169,1.4313,58,0.5856,,,0.0102,Y
8-Aug,17,W,oat,4-year,low,low,21,1.9146,1.7285,100,0.1861,,,0.0207,Y
6-Dec,17,W,oat,4-year,low,low,28,28.8,20.6,,8.2,4.4,3.4,,Y
8-Aug,17,W,oat,4-year,low,low,31,2.999,1.8651,678,1.1339,,,0.1563,Y
10-Aug,17,W,oat,4-year,low,low,41,2.2453,1.6903,213,0.555,,,0.0623,Y
3-Dec,22,E,oat,4-year,low,low,4,23.6,20.5,,3.1,1.8,1.4,,Y
3-Dec,22,E,oat,4-year,low,low,5,21.7,19.6,,2.1,1.2,1.1,,Y
8-Aug,22,E,oat,4-year,low,low,13,2.6211,1.6912,791,0.9299,,,0.1598,Y
4-Dec,22,E,oat,4-year,low,low,15,30.8,19,,11.8,5.7,4.9,,Y
4-Dec,22,E,oat,4-year,low,low,22,22.1,20.4,,1.7,0.3,0.8,,Y
8-Aug,22,E,oat,4-year,low,low,32,2.8338,1.7099,888,1.1239,,,0.1643,Y
8-Aug,22,W,oat,4-year,conv,conv,1,2.1787,1.7037,366,0.475,,,0.0737,Y
8-Aug,22,W,oat,4-year,conv,conv,4,1.6512,1.3783,24,0.2729,,,0.0044,Y
8-Aug,22,W,oat,4-year,conv,conv,10,2.3378,1.7238,158,0.614,,,0.0264,Y
8-Aug,22,W,oat,4-year,conv,conv,11,2.1259,1.8269,279,0.299,,,0.0449,Y
8-Aug,22,W,oat,4-year,conv,conv,18,3.0537,1.6497,630,1.404,,,0.1164,Y
6-Dec,22,W,oat,4-year,conv,conv,23,24.7,20.4,,4.3,1.6,1.8,,Y
10-Aug,22,W,oat,4-year,conv,conv,29,23.15,20.68,973,2.47,,,0.2108,Y
8-Aug,22,W,oat,4-year,conv,conv,30,2.11,1.8113,109,0.2987,,,0.0186,Y
8-Aug,25,E,oat,3-year,conv,conv,1,2.4769,1.6387,446,0.8382,,,0.1127,Y
8-Aug,25,E,oat,3-year,conv,conv,2,1.6616,1.4115,242,0.2501,,,0.0534,Y
4-Dec,25,E,oat,3-year,conv,conv,3,23.2,19.3,,3.9,2.2,1.4,,Y
10-Aug,25,E,oat,3-year,conv,conv,4,2.7652,1.4488,1524,1.3164,,,0.2983,Y
8-Aug,25,E,oat,3-year,conv,conv,5,2.2789,1.4861,295,0.7928,,,0.0578,Y
8-Aug,25,E,oat,3-year,conv,conv,9,2.4181,1.7549,255,0.6632,,,0.0709,Y
8-Aug,25,E,oat,3-year,conv,conv,10,1.8101,1.4545,115,0.3556,,,0.0248,Y
8-Aug,25,E,oat,3-year,conv,conv,11,2.6768,1.7353,285,0.9415,,,0.0797,Y
8-Aug,25,W,oat,3-year,low,low,1,2.0829,1.4274,502,0.6555,,,0.1593,Y
10-Aug,25,W,oat,3-year,low,low,1,1.7563,1.4182,140,0.3381,,,0.0315,Y
10-Aug,25,W,oat,3-year,low,low,6,2.0291,1.5307,334,0.4984,,,0.0631,Y
8-Aug,25,W,oat,3-year,low,low,7,1.8358,1.5156,21,0.3202,,,0.0053,Y
10-Aug,25,W,oat,3-year,low,low,8,1.9631,1.3884,295,0.5747,,,0.0589,Y
8-Aug,25,W,oat,3-year,low,low,9,1.8279,1.3783,482,0.4496,,,0.0817,Y
